CP,city,Province,Region,cases,pop,superf,lat,long,Incidence_rate,Density
11053,Wuustwezel,Antwerpen,Flanders,3215,21346,89.410893981816,51.38525,4.56517434504,0.150613698116743,238.740482835808
11054,Zandhoven,Antwerpen,Flanders,1790,13124,40.099115761015,51.2147918,4.6595103,0.136391344102408,327.289012511327
11055,Zoersel,Antwerpen,Flanders,3209,22142,38.684347893727,51.2716725,4.7132557,0.144928190768675,572.376198787896
11056,Zwijndrecht,Antwerpen,Flanders,2717,19263,20.244947141932,51.23062085,4.31886932822,0.141047604215335,951.496680379167
11057,Malle,Antwerpen,Flanders,2342,15620,51.901688370661,51.3001124,4.7149828,0.149935979513444,300.953600747017
12002,Berlaar,Antwerpen,Flanders,1459,11710,24.525873043237,51.10303735,4.66403876346,0.124594363791631,477.454970893647
12005,Bonheiden,Antwerpen,Flanders,1857,15177,29.192521177825,51.0261294,4.53782177791,0.122356196876853,519.893431182252
12007,Bornem,Antwerpen,Flanders,2834,21428,46.186921631761,51.0924649,4.24232600515,0.132256860182938,463.940856912723
12009,Duffel,Antwerpen,Flanders,2452,17714,22.598279151579,51.0957176,4.5061988,0.138421587444959,783.864996143402
12014,Heist-op-den-Berg,Antwerpen,Flanders,5942,43096,86.672250803275,51.06251415,4.71937655344,0.137878225357342,497.22950079856
12021,Lier,Antwerpen,Flanders,5236,36923,49.8530886873666,51.131069,4.5696516,0.141808628767977,740.636156598994
12025,Mechelen,Antwerpen,Flanders,12556,86911,65.7871329811296,51.02803335,4.4713212,0.144469629851227,1321.09420279691
12026,Nijlen,Antwerpen,Flanders,3177,22985,39.195352032074,51.1611887,4.6709517317,0.138220578638242,586.421573180185
12029,Putte,Antwerpen,Flanders,2324,18109,35.158163975395,51.0570823,4.6310473,0.128333977580209,515.072402889791
12035,Sint-Katelijne-Waver,Antwerpen,Flanders,2815,21197,36.155495879867,51.06232435,4.51142781401,0.13280181157711,586.273247929741
12040,Willebroek,Antwerpen,Flanders,4099,27081,27.3657459976991,51.0626964,4.3572324644,0.151360732616964,989.594802285929
12041,Puurs-Sint-Amands,Antwerpen,Flanders,3692,26208,49.1387938209226,51.07199845,4.28619286788,0.140873015873016,533.34642473135
13001,Arendonk,Antwerpen,Flanders,2516,13207,55.151578866548,51.3202315,5.0864557,0.190505035208601,239.467305767572
13002,Baarle-Hertog,Antwerpen,Flanders,396,2935,7.414231601731,51.4127504314,4.90040517109,0.134923339011925,395.86030726566
13003,Balen,Antwerpen,Flanders,3395,22853,72.987052046916,51.171804,5.1937730761,0.148558176169431,313.110330655773
13004,Beerse,Antwerpen,Flanders,3252,18194,37.35974277032,51.3134921,4.83757045231,0.178740244036496,486.994787727875
13006,Dessel,Antwerpen,Flanders,1594,9659,27.446138305207,51.2395713,5.113243,0.165027435552335,351.925647702778
13008,Geel,Antwerpen,Flanders,6486,40781,110.19717256662,51.1610826,4.9903187,0.159044653147299,370.073015941908
